model,val_mae,val_rmse,val_r2,val_bias,test_mae,test_rmse,test_r2,test_bias
Dummy (Mean),5.152235172591101,8.524938070889727,-0.031118635864414435,1.4809731677954747,2.2654843068510084,3.932349199559095,-0.002261110144801348,0.1867766134402966
Linear Regression,5.3883189639952755,8.685458080065898,-0.07031503880465984,0.4797908405791962,1.9553633124392775,3.5374533178909404,0.18893033242359203,-0.6106138123161278
Random Forest,5.175509961142747,8.40222369097618,-0.0016468961961042528,0.7637545327145818,1.9361721396614495,3.57722411949389,0.17059046108210707,-0.06298681529421297
HistGradientBoosting,5.2133162476721235,8.334162609920014,0.014514791303969377,0.9127422053947878,2.2723317709829245,4.017589835525724,-0.046183625632977954,0.07612866460337137
